Dis No,Year,Disaster Type
2016-0229-PAK,2016,Storm
2016-0100-PAK,2016,Earthquake
2016-0240-PAK,2016,Flood
2016-0387-PAK,2016,Flood
2017-0002-CHL,2017,Wildfire
2015-0017-PHL,2015,Storm
2015-0371-PHL,2015,Storm
2015-0462-PHL,2015,Storm
2015-0543-PHL,2015,Storm
2015-0211-USA,2015,Storm
2015-0488-USA,2015,Storm
2015-0155-USA,2015,Storm
2015-0180-USA,2015,Storm
2015-0245-USA,2015,Storm
2015-0138-USA,2015,Storm
2015-0326-USA,2015,Storm
2015-0522-PER,2015,Flood
2015-0278-PHL,2015,Storm
2015-0283-PHL,2015,Flood
2015-0359-PHL,2015,Flood
2015-0153-RWA,2015,Flood
2015-0194-TJK,2015,Flood
2015-0286-TJK,2015,Flood
2015-0292-VNM,2015,Flood
2015-0535-COD,2015,Flood
2015-0401-USA,2015,Wildfire
2015-0123-USA,2015,Storm
2015-0400-USA,2015,Storm
2015-0279-PHL,2015,Flood
2015-0565-USA,2015,Flood
2015-9410-PNG,2015,Drought
2015-0113-PSE,2015,Storm
2015-0002-SYR,2015,Storm
2015-0046-USA,2015,Storm
2015-0072-USA,2015,Storm
2015-9500-ZAF,2015,Drought
2015-0038-TUR,2015,Flood
2015-0002-PSE,2015,Storm
2015-0093-SLB,2015,Storm
2015-0494-SOM,2015,Storm
2015-0339-TWN,2015,Storm
2015-0069-TZA,2015,Storm
2015-0558-USA,2015,Storm
2015-0531-USA,2015,Storm
2015-0459-USA,2015,Storm
2015-0093-VUT,2015,Storm
2015-0494-YEM,2015,Storm
2015-0030-ZWE,2015,Storm
2015-9373-SDN,2015,Drought
2015-9616-SOM,2015,Drought
2015-0093-TUV,2015,Storm
2015-0026-USA,2015,Storm
2015-0212-USA,2015,Flood
2015-0199-PER,2015,Flood
2015-0315-PER,2015,Extreme temperature
2015-0323-PHL,2015,Flood
2015-0105-PHL,2015,Storm
2015-0176-PHL,2015,Storm
2015-0244-PHL,2015,Storm
2015-0339-PHL,2015,Storm
2015-0490-PHL,2015,Storm
2015-9364-PHL,2015,Drought
2015-0284-PHL,2015,Flood
2015-0093-PNG,2015,Storm
2015-0097-PNG,2015,Flood
2015-0263-POL,2015,Storm
2015-0577-POL,2015,Extreme temperature
2015-0345-PRK,2015,Flood
2015-9257-PRK,2015,Drought
2015-0532-PRT,2015,Flood
2015-0184-PRY,2015,Storm
2015-0310-PRY,2015,Flood
2015-0551-PRY,2015,Flood
2015-0203-ROU,2015,Flood
2015-0235-RUS,2015,Flood
2015-0137-RUS,2015,Wildfire
2015-0130-SAU,2015,Flood
2015-0507-SAU,2015,Flood
2015-0392-SDN,2015,Flood
2015-0393-SDN,2015,Extreme temperature
2015-0281-SLB,2015,Storm
2015-9483-SLB,2015,Drought
2015-0436-SLE,2015,Flood
2015-0198-SLV,2015,Storm
2015-0446-SLV,2015,Flood
2015-0484-SOM,2015,Storm
2015-0477-SOM,2015,Flood
2015-0544-SOM,2015,Flood
2015-0427-SYR,2015,Storm
2015-0580-TGO,2015,Epidemic
2015-9574-THA,2015,Drought
2015-0528-TJK,2015,Earthquake
2015-0119-TJK,2015,Landslide
2015-9483-TON,2015,Drought
2015-0390-TUR,2015,Flood
2015-0244-TWN,2015,Storm
2015-0458-TWN,2015,Storm
2015-0540-TZA,2015,Epidemic
2015-0541-TZA,2015,Epidemic
2015-0205-TZA,2015,Flood
2015-0363-URY,2015,Flood
2015-0551-URY,2015,Flood
2015-0498-URY,2015,Flood
2015-0177-USA,2015,Storm
2015-0025-USA,2015,Storm
2015-0073-USA,2015,Storm
2015-0122-USA,2015,Storm
2015-0186-USA,2015,Flood
2015-0431-USA,2015,Flood
2015-0421-USA,2015,Wildfire
2015-0613-USA,2015,Wildfire
2015-9210-USA,2015,Drought
2015-0312-USA,2015,Wildfire
2015-0399-USA,2015,Flood
2015-0296-VEN,2015,Flood
2015-0252-VNM,2015,Storm
2015-9617-VNM,2015,Drought
2015-0460-VNM,2015,Flood
2015-9483-WSM,2015,Drought
2015-0484-YEM,2015,Storm
2015-0302-YEM,2015,Epidemic
2015-0336-COD,2015,Earthquake
2015-0385-COD,2015,Wildfire
2015-0536-COD,2015,Flood
2015-0549-COD,2015,Flood
2015-0339-MNP,2015,Storm
2015-0608-TLS,2015,Earthquake
2015-0301-SSD,2015,Epidemic
2016-0012-USA,2016,Storm
2016-0203-USA,2016,Storm
2016-0379-VNM,2016,Storm
2016-0519-ARG,2016,Flood
2016-0227-RUS,2016,Flood
2016-0125-USA,2016,Storm
2016-0322-USA,2016,Storm
2016-0115-URY,2016,Flood
2016-0054-PER,2016,Flood
2016-0456-PHL,2016,Storm
2016-0371-PHL,2016,Storm
2016-0149-RWA,2016,Flood
2016-0191-TJK,2016,Flood
2016-0350-TWN,2016,Storm
2016-0331-USA,2016,Flood
2016-0494-VCT,2016,Flood
2016-0522-BOL,2016,Flood
2016-0522-COL,2016,Flood
2016-0043-TWN,2016,Earthquake
2016-0483-SLB,2016,Earthquake
2016-0123-USA,2016,Storm
2016-0150-USA,2016,Storm
2016-0477-USA,2016,Storm
2016-0086-USA,2016,Storm
2016-0087-USA,2016,Storm
2016-0427-UKR,2016,Flood
2016-0124-USA,2016,Flood
2016-0183-USA,2016,Flood
2016-0451-COD,2016,Flood
2016-0490-PHL,2016,Storm
2016-0481-SAU,2016,Storm
2016-0342-TWN,2016,Storm
2016-0181-USA,2016,Storm
2016-0085-USA,2016,Storm
2016-0355-USA,2016,Storm
2016-0362-VNM,2016,Storm
2016-0371-VNM,2016,Storm
2016-9065-SSD,2016,Drought
2016-0010-USA,2016,Storm
2016-0179-POL,2016,Flood
2016-0295-RUS,2016,Flood
2016-0051-USA,2016,Storm
2016-0298-PER,2016,Earthquake
2016-0464-PER,2016,Earthquake
2016-0256-PHL,2016,Storm
2016-0342-PHL,2016,Storm
2016-0363-PHL,2016,Storm
2016-0364-PHL,2016,Storm
2016-0503-PHL,2016,Storm
2016-0377-PHL,2016,Flood
2016-0445-PHL,2016,Flood
2016-0001-POL,2016,Extreme temperature
2016-0321-PRK,2016,Flood
2016-0285-PRT,2016,Wildfire
2016-9249-PRY,2016,Drought
2016-0426-ROU,2016,Flood
2016-0179-ROU,2016,Flood
2016-0128-RUS,2016,Flood
2016-0164-RWA,2016,Landslide
2016-0120-SAU,2016,Flood
2016-0105-SAU,2016,Flood
2016-0274-SDN,2016,Flood
2016-0344-SDN,2016,Epidemic
2016-0449-SEN,2016,Flood
2016-0513-SGP,2016,Epidemic
2016-0392-SLB,2016,Epidemic
2016-0129-SOM,2016,Flood
2016-9291-SWZ,2016,Drought
2016-0302-SYC,2016,Epidemic
2016-0378-THA,2016,Flood
2016-0023-THA,2016,Extreme temperature
2016-0360-THA,2016,Flood
2016-0472-THA,2016,Flood
2016-0251-TJK,2016,Earthquake
2016-0004-TON,2016,Storm
2016-0041-TON,2016,Storm
2016-0141-TON,2016,Storm
2016-0256-TWN,2016,Storm
2016-0023-TWN,2016,Extreme temperature
2016-0329-TZA,2016,Earthquake
2016-0060-TZA,2016,Flood
2016-0028-TZA,2016,Flood
2016-0244-TZA,2016,Flood
2016-0329-UGA,2016,Earthquake
2016-0130-UGA,2016,Flood
2016-0148-UGA,2016,Landslide
2016-0001-UKR,2016,Extreme temperature
2016-0493-USA,2016,Earthquake
2016-0206-USA,2016,Wildfire
2016-0264-USA,2016,Wildfire
2016-0297-USA,2016,Wildfire
2016-0463-USA,2016,Wildfire
2016-0170-USA,2016,Flood
2016-0292-USA,2016,Flood
2016-0355-VCT,2016,Storm
2016-0400-VNM,2016,Flood
2016-0268-VNM,2016,Storm
2016-0514-VNM,2016,Epidemic
2016-0497-VNM,2016,Flood
2016-0517-VNM,2016,Flood
2016-0120-YEM,2016,Flood
2016-0196-YEM,2016,Landslide
2016-0440-YEM,2016,Epidemic
2016-0478-ZAF,2016,Flood
2016-0036-ZAF,2016,Extreme temperature
2016-0305-ZAF,2016,Flood
2016-0507-COD,2016,Flood
2016-0419-COD,2016,Epidemic
2016-0439-COD,2016,Epidemic
2016-0076-SRB,2016,Flood
2016-0446-SRB,2016,Flood
2016-9119-TLS,2016,Drought
2016-0289-SSD,2016,Epidemic
