Dis No,Country,Region,Continent,Location,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs,Insured Damages,Total Damages
2018-0140-BGD,Bangladesh,Southern Asia,Asia,,33.0,,,,,,,
2018-0018-BGD,Bangladesh,Southern Asia,Asia,,34.0,,,,,,,
2018-0158-BGD,Bangladesh,Southern Asia,Asia,,21.0,,14000.0,,14000.0,,,
2018-0220-BGR,Bulgaria,Eastern Europe,Europe,"Plovdiv, Pazardjik, Sofia, Smolyan, Bourgas provinces",,,600.0,,600.0,,,
2018-0097-BLR,Belarus,Eastern Europe,Europe,Chernichi (Gomel region); Brest; Grodno; Minsk; Mogilev; Vitebsk regions,,,50000.0,,50000.0,,,
2018-0478-BOL,Bolivia (Plurinational State of),South America,Americas,Santa Cruz department,23.0,1428.0,,,1428.0,,,
2018-0415-BRA,Brazil,South America,Americas,"Niteroi, near Rio de Janeiro",15.0,,,300.0,300.0,,,
2018-0112-BRA,Brazil,South America,Americas,Sao Paulo,3.0,,1000.0,,1000.0,,,43000.0
2018-0103-BWA,Botswana,Southern Africa,Africa,"Gweta, Zoroga, Tsookotshaa vilalges (Central district, Mashonaland Central province)",,,4225.0,,4225.0,,,
2018-0437-CAF,Central African Republic,Middle Africa,Africa,Bokarangue-Koui district,1.0,119.0,,,119.0,,,
2018-0366-CAN,Canada,Northern America,Americas,Ottawa; Quebec province,,30.0,900.0,,930.0,,,325000.0
2018-0195-CAN,Canada,Northern America,Americas,"Gatineau, Montréal, Joliette, Saint-Hyacinthe, Saint-Jean-sur-Richelieu, Drummondville, Sherbrooke ,Outaouais, Laurentides, Lanaudière, Victoriaville Trois-Rivières, Québec, La Malbaie, Kamouraska, l’Abitibi-Témiscamingue, Saguenay—Lac-Saint-Jean (Quebec)",70.0,,,,,,,
2018-0160-CAN,Canada,Northern America,Americas,British Columbia,,,4000.0,,4000.0,,,
2018-0118-CHN,China,Eastern Asia,Asia,"Jiangxi, Zheijiang, Anhui",14.0,,177000.0,,177000.0,,,147000.0
2018-0050-CHN,China,Eastern Asia,Asia,"Anhui, Chongqing, Guizhou, Henan, Hubei, Hunan, Jiangsu, Jiangxi, Shaanxi, Shanxi, Xinjiang",21.0,,2500000.0,3700.0,2503700.0,,,854000.0
2018-0474-CHN,China,Eastern Asia,Asia,"Guangxi, Jiangxi, Zhejiang,Hunan, Hubei, Guizhou",,,1800000.0,,1800000.0,,,119300.0
2018-0215-CHN,China,Eastern Asia,Asia,Ningjiang (Jilin province),,,12000.0,,12000.0,,,29000.0
2018-0323-CHN,China,Eastern Asia,Asia,Yuxi (Yunnan province),,24.0,18000.0,,18024.0,,,50000.0
2018-0201-CHN,China,Eastern Asia,Asia,"Guangdong, Jiangxi, Fujian, and Zhejiang provinces, Hainan Island",14.0,,16200.0,,16200.0,,,570000.0
2018-0287-CHN,China,Eastern Asia,Asia,"Shangai, iJiangsu, Zhejiang, Shandong, Hebei",1.0,,18000.0,,18000.0,,,240000.0
2018-0309-CHN,China,Eastern Asia,Asia,,,,,,,,,79900.0
2018-0341-CHN,China,Eastern Asia,Asia,Shenzhen,,,,,,,,770000.0
2018-0159-CHN,China,Eastern Asia,Asia,Guangxi Zhuang Autonomous,5.0,,70000.0,,70000.0,,,
2018-0210-CHN,China,Eastern Asia,Asia,"Jiangxi, Hebei, Shanxi, Jiangsu, Shandong, Henan, Hubei, Shaanxi, Sichuan, Guizhou, Gansu, Chongqing",77.0,,225000.0,,225000.0,,,373000.0
2018-0211-CHN,China,Eastern Asia,Asia,"Fujian, Guangdong, Guangxi",2.0,,6000.0,,6000.0,,,67000.0
